section_title,count
"11.7. ЕСЛИ ИСПОЛНИТЕЛЬ ПО НАСТОЯЩЕМУ ДОГОВОРУ СТАЛКИВАЕТСЯ С ДЕЙСТВИЯМИ РАБОТНИКОВ ЗАКАЗЧИКА, ПРОТИВОРЕЧАЩИМИ АНТИКОРРУПЦИОННЫМ ПОЛОЖЕНИЯМ НАСТОЯЩЕГО ДОГОВОРА И/ИЛИ ПРИМЕНИМОМУ ЗАКОНОДАТЕЛЬСТВУ, В ТОМ ЧИСЛЕ С ФАКТАМИ ПРИНУЖДЕНИЯ К СОВЕРШЕНИЮ КОРРУПЦИОННЫХ НАРУШЕНИЙ, ОН ДОЛЖЕН СООБЩИТЬ ОБ ЭТОМ ПО ОДНОМУ ИЗ СЛЕДУЮЩИХ КАНАЛОВ СВЯЗИ:",1
"12.1. ЗАКАЗЧИК ИМЕЕТ ПРАВО РАСТОРГНУТЬ НАСТОЯЩИЙ КОНТРАКТ ПОЛНОСТЬЮ ИЛИ В ЧАСТИ (ПРИЧЕМ ЗА ЭТО ОН НЕ НЕСЕТ ОТВЕТСТВЕННОСТИ ПЕРЕД ИСПОЛНИТЕЛЕМ), ЕСЛИ ИСПОЛНИТЕЛЬ:",1
"15. ЮРИДИЧЕСКИЕ АДРЕСА И БАНКОВСКИЕ РЕКВИЗИТЫ СТОРОН: / ЗАКАЗЧИК:",1
"ДОГОВОР № _____",1
"1.3. КАЧЕСТВО ПОСТАВЛЯЕМОЙ ПРОДУКЦИИ ДОЛЖНО СООТВЕТСТВОВАТЬ ТРЕБОВАНИЯМ НОРМАТИВНЫХ ДОКУМЕНТОВ ПО СТАНДАРТИЗАЦИИ (ГОСТ, O‘ZDST, TS И Т.П.), ТЕХНИЧЕСКИМ ТРЕБОВАНИЯМ «ЗАКАЗЧИКА» И ЭТАЛОНУ-ОБРАЗЦУ, УТВЕРЖДЕННОМУ СТОРОНАМИ, А ТАКЖЕ ДРУГИМ НОРМАМ И ПРАВИЛАМ, УСТАНОВЛЕННЫМ ДЛЯ ПОСТАВЛЯЕМОЙ ПРОДУКЦИИ В РЕСПУБЛИКЕ УЗБЕКИСТАН.",1
"6.3. ЕСЛИ ПОСТАВЛЕННАЯ ПРОДУКЦИЯ НЕ СООТВЕТСТВУЕТ ТРЕБОВАНИЯМ, ИЗЛОЖЕННЫМ В ПУНКТЕ 1.3. НАСТОЯЩЕГО ДОГОВОРА, «ЗАКАЗЧИК» ВПРАВЕ:",1
"9.1. СТОРОНЫ ОСВОБОЖДАЮТСЯ ОТ ОТВЕТСТВЕННОСТИ ЗА ЧАСТИЧНОЕ ИЛИ ПОЛНОЕ НЕИСПОЛНЕНИЕ ОБЯЗАТЕЛЬСТВ ПО НАСТОЯЩЕМУ ДОГОВОРУ, ЕСЛИ ОНО ЯВИЛОСЬ СЛЕДСТВИЕМ ПОЖАРА, НАВОДНЕНИЯ, ЗЕМЛЕТРЯСЕНИЯ, ВОЙНЫ, БЛОКАДЫ И ДРУГИХ ОБЩЕПРИЗНАННЫХ ОБСТОЯТЕЛЬСТВ НЕПРЕОДОЛИМОЙ СИЛЫ, ИЗДАНИЯ АКТОВ ГОСУДАРСТВЕННЫХ ОРГАНОВ. ПРИ НАСТУПЛЕНИИ ФОРС-МАЖОРНЫХ ОБСТОЯТЕЛЬСТВ СТОРОНЫ ОБЯЗАНЫ ПРОИНФОРМИРОВАТЬ ДРУГ ДРУГА О НАСТУПЛЕНИИ ПОДОБНЫХ ОБСТОЯТЕЛЬСТВ В ПИСЬМЕННОЙ ФОРМЕ",1
"9.2. В СЛУЧАЕ ПРОДЛЕНИЯ ФОРС-МАЖОРНЫХ ОБСТОЯТЕЛЬСТВ НА СРОК БОЛЕЕ 2 (ДВУХ) МЕСЯЦЕВ ПОЛУЧЕННАЯ ПРЕДОПЛАТА (ЗА ИСКЛЮЧЕНИЕМ ИСПОЛНЕННЫХ СТОРОНАМИ ОБЯЗАТЕЛЬСТВ) ПО НАСТОЯЩЕМУ ДОГОВОРУ В ТЕЧЕНИЕ 10 (ДЕСЯТИ) БАНКОВСКИХ ДНЕЙ ПОДЛЕЖИТ ВОЗВРАТУ.",1
"12.4. В СООТВЕТСТВИИ С ЗАКОНОМ О ЗАЩИТЕ ГОСУДАРСТВЕННЫХ СЕКРЕТОВ «ИСПОЛНИТЕЛЬ» ОБЯЗАН ОБЕСПЕЧИТЬ КОНФИДЕНЦИАЛЬНОСТЬ ИНФОРМАЦИИ ПО ОБЪЕМАМ ЗАКАЗА И ДРУГОЙ ЗАКРЫТОЙ ИНФОРМАЦИИ, СТАВШЕЙ ЕМУ ИЗВЕСТНОЙ В ХОДЕ ЗАКЛЮЧЕНИЯ И ИСПОЛНЕНИЯ ДОГОВОРА.",1
"ПРИЛОЖЕНИЕ № 1 К ДОГОВОРУ №_____ОТ_______",1
"3.1. ПЛАТЕЖИ ПО НАСТОЯЩЕМУ КОНТРАКТУ БУДУТ ПРОИЗВОДИТЬСЯ В ДОЛЛ. США СЛЕДУЮЩИМ ОБРАЗОМ:",1
"6.4. ЗАКАЗЧИК ДОЛЖЕН ОБЕСПЕЧИТЬ СПЕЦИАЛИСТОВ ИСПОЛНИТЕЛЯ, ОСУЩЕСТВЛЯЮЩЕГО СУПЕРВАЙЗИНГ И ПУCКО НАЛАДКУ НА ТЕРРИТОРИИ :",1
"8.1. ЧТО ПОСТАВЛЕННЫЙ СОГЛАСНО ПРИЛОЖЕНИЮ № 1 НАСТОЯЩЕГО КОНТРАКТА ТОВАР НОВЫЙ И ИЗГОТОВЛЕН С ВЫСОКИМ КАЧЕСТВОМ В ПОЛНОМ СООТВЕТСТВИИ СО СТАНДАРТАМИ, СПЕЦИФИКАЦИЯМИ И ТЕХНИЧЕСКИМИ УСЛОВИЯМИ.",1
"8.2. ТОВАР СЧИТАЕТСЯ ПОСТАВЛЕННЫМ ИСПОЛНИТЕЛЕМ И ПРИНЯТЫМИ ЗАКАЗЧИКОМ:",1
"9.1. ТОВАР ДОЛЖЕН ОТГРУЖАТЬСЯ В ЭКСПОРТНОЙ СТАНДАРТНОЙ УПАКОВКЕ, СООТВЕТСТВУЮЩЕЙ ХАРАКТЕРУ ПОСТАВЛЯЕМОГО ТОВАР. НА КАЖДОЕ МЕСТО НАНОСИТСЯ НЕСМЫВАЕМОЙ КРАСКОЙ СЛЕДУЮЩАЯ МАРКИРОВКА:",1
"12.1. СТОРОНЫ НЕ НЕСУТ ОТВЕТСТВЕННОСТИ ЗА НЕИСПОЛНЕНИЕ ИЛИ ЗАДЕРЖКУ В ИСПОЛНЕНИИ СВОИХ ОБЯЗАТЕЛЬСТВ ПО НАСТОЯЩЕМУ КОНТРАКТУ, ЕСЛИ ЭТО НЕИСПОЛНЕНИЕ ЯВИЛОСЬ СЛЕДСТВИЕМ ОБСТОЯТЕЛЬСТВ НЕПРЕОДОЛИМОЙ СИЛЫ, ТАКИХ КАК ВОЙНА, ТЕРРОРИЗМ, ПОЖАР, НАВОДНЕНИЕ, ВЗРЫВ, ЭПИДЕМИИ, КАРАНТИН, ВОССТАНИЯ, АТОМНЫЕ ПРОИСШЕСТВИЯ, А ТАКЖЕ ДРУГИЕ СОБЫТИЯ ЧРЕЗВЫЧАЙНОГО ХАРАКТЕРА, КОТОРЫЕ СТОРОНЫ НЕ МОГЛИ НИ ПРЕДВИДЕТЬ, НИ ПРЕДОТВРАТИТЬ И ЗА ВОЗНИКНОВЕНИЕ КОТОРЫХ НЕ НЕСУТ ОТВЕТСТВЕННОСТИ. НАДЛЕЖАЩИМ ПОДТВЕРЖДЕНИЕМ НАСТУПЛЕНИЯ ОБСТОЯТЕЛЬСТВ ФОРС-МАЖОР ЯВЛЯЕТСЯ СПРАВКА, ВЫДАННАЯ УПОЛНОМОЧЕННЫМ ОРГАНОМ СТРАНЫ, ГДЕ ИМЕЛИ МЕСТО ДАННЫЕ ОБСТОЯТЕЛЬСТВА.",1
"13.2. ИСПОЛНИТЕЛЬ ОБЯЗАН НАПРАВИТЬ ПРИ ОТГРУЗКЕ ТОВАР ЗАКАЗЧИКУ СЛЕДУЮЩИЙ ПАКЕТ ДОКУМЕНТОВ В 2-Х ЭКЗЕМПЛЯРАХ ЭЛЕКТРОННЫМ СООБЩЕНИЕМ:",1
"14. ПОЛОЖЕНИЯ ПО КОМПЛАЕНСУ / 14.1. ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ:",1
"14.2. КОМПЛАЕНС:",1
"1.1. THE SELLER SELLS, AND THE BUYER BUYS CONVEYORS (HEREINAFTER GOODS) ON FOB / FCA DELIVERY CONDITION IN STRICT COMPLIANCE WITH THE QUANTITY, ASSORTMENT AND PRICES ALSO SELLER SPECIALTY CARE (FURTHER SERVICE) ON SUPERVISING, START RUN UP OF EQUIPMENT AND TRAINING IN THE TERRITORY ACCORDING TO THE ATTACHMENT № 1 THAT IS AN INTEGRAL PART OF THE PRESENT CONTRACT.",1
"4. DELIVERY TERM",1
"4.3. PARTIAL SHIPMENT OF GOODS IS ALLOWED.",1
"6.4. BUYER SHALL PROVIDE SELLER’S SPECIALISTS CARRYING OUT SUPERVISING AND TEST RUN IN THE TERRITORY :",1
"8. QUALITY OF GOODS AND WARRANTY.",1
"8.1. THAT DELIVERED ACCORDING TO THE ATTACHMENT № 1 OF THE PRESENT CONTRACT GOODS ARE NEW MADE WITH HIGH QUALITY IN ACCORDANCE WITH STANDARDS, SPECIFICATIONS AND TECHNICAL CONDITIONS.",1
"9.1. GOODS SHOULD BE SHIPPED IN EXPORT STANDARD PACKING CORRESPONDING TO THE NATURE OF THE DELIVERED GOODS. EACH PACKAGE UNIT SHOULD HAVE THE FOLLOWING MARKING MADE BY INDELIBLE PAINT:",1
"10. DELIVERY AND ACCEPTANCE OF GOODS.",1
"11. ARBITRATION.",1
"12. FORCE MAJEURE.",1
"13.2. THE SELLER IS OBLIGED TO SEND TO THE BUYER THE FOLLOWING SET OF THE DOCUMENTS UPON EACH SHIPMENT:",1
"14.3. BOOKS RECORDS AND AUDIT RIGHTS:",1
"1.2. THE FOLLOWING DOCUMENTS WILL BE CONSIDERED AN INTEGRAL PART OF THE PRESENT CONTRACT:",1
"5. TERMS OF SHIPMENT",1
"6.1. PAYMENTS UNDER THE CONTRACT ARE MADE IN U.S. DOLLARS.",1
"6.4. THE PARTIES AGREED THAT THE ACCOUNTS, INVOICES FOR PAYMENT FOR THE PRODUCT AND OTHER PAYMENTS UNDER THE PRESENT CONTRACT THAT SELLER SEND TO BUYER VIA E-MAIL, ARE THE GROUNDS FOR PAYMENT, WITH FURTHER SENDING OF THE ORIGINALS TO BUYER BY MAIL.",1
"6.6. THE LETTER OF CREDIT REVEALS ON THE TERMS OF DAP STATION OF LOADING AGAINST GRANTING OF FOLLOWING DOCUMENTS:",1
"7. DELIVERY AND ACCEPTANCE OF PRODUCT",1
"7.2. THE QUALITY OF PRODUCT SUPPLIED UNDER THE PRESENT CONTRACT IS SPECIFIED IN THE QUALITY CERTIFICATE (PASSPORT), ISSUED BY THE MANUFACTURER AND CONFIRMED BY THE LABORATORY OF SGS",1
"10. WARRANTY / 10.1. THE PARTIES HEREBY REPRESENT AND WARRANT AS FOLLOWS:",1
"11. CLAIMS / 11.1. IF THE QUALITY OF OFFICIAL SAMPLES DOES NOT MEET CONTRACT SPECIFICATIONS, QUALITY CLAIMS MUST BE SUBMITTED TO SELLER WITHIN 45 (FORTY FIVE) CALENDAR DAYS FROM THE DATE OF DELIVERY.",1
"13. ARBITRATION",1
"14.4. IN CASE IF FORCE MAJEURE CIRCUMSTANCES LAST MORE THAN 90 (NINETY) DAYS, THE PARTIES HAVE THE RIGHT TO PARTIALLY OR COMPLETELY CANCEL THIS CONTRACT. IN THIS CASE, NEITHER PARTY MUST NOT TO CLAIM ANY COMPENSATION FOR POSSIBLE LOSSES FROM THE OTHER PARTY.",1
"2. КОЛИЧЕСТВО ТОВАРА",1
"3. КАЧЕСТВО ТОВАРА / 3.1. КАЧЕСТВО ТОВАРА ДОЛЖНО ПОЛНОСТЬЮ СООТВЕТСТВОВАТЬ СЕРТИФИКАТУ (ПАСПОРТУ) КАЧЕСТВА ЗАВОДА ПРОИЗВОДИТЕЛЯ (ПРИЛОЖЕНИЕ№ 1) И ПОДТВЕРЖДЕНО ЗАКЛЮЧЕНИЕМ НЕЗАВИСИМОЙ ЭКСПЕРТИЗОЙ КАЧЕСТВА SGS",1
"4.2. ПОСТАВКА ТОВАРА ОСУЩЕСТВЛЯЕТСЯ В ТЕЧЕНИЕ 12 (ДВЕНАДЦАТИ) МЕСЯЦЕВ, СОГЛАСОВАННЫМИ ПАРТИЯМИ ЕЖЕМЕСЯЧНО/ПОДЕКАДНО, В СООТВЕТСТВИИ С ГРАФИКОМ ПОСТАВКИ (ПРИЛОЖЕНИЕ № 2).",1
"4.4. ПЕРВАЯ ПОСТАВКА ТОВАРА ОСУЩЕСТВЛЯЕТСЯ В",1
"6. СТОИМОСТЬ КОНТРАКТА, ЦЕНА И / УСЛОВИЯ ПЛАТЕЖА",1
"6.6. АККРЕДИТИВ РАСКРЫВАЕТСЯ НА УСЛОВИЯХ DAP СТАНЦИЯ ПОГРУЗКИ ПРОТИВ ПРЕДОСТАВЛЕНИЯ СЛЕДУЮЩИХ ДОКУМЕНТОВ:",1
"7.3. ПОСЛЕ ОТГРУЗКИ ТОВАРА, ПРОДАВЕЦ В ТЕЧЕНИЕ ТЕКУЩЕГО КАЛЕНДАРНОГО ДНЯ ОТПРАВЛЯЕТ ПО ЭЛЕКТРОННОЙ ПОЧТЕ, А ПОСЛЕ НЕ ПОЗДНЕЕ 5 (ПЯТИ) КАЛЕНДАРНЫХ ДНЕЙ ПЕРЕДАЕТ ПОКУПАТЕЛЮ:",1
"10. ГАРАНТИИ / 10.1. СТОРОНЫ НАСТОЯЩИМ ПРЕДСТАВЛЯЮТ И ГАРАНТИРУЮТ СЛЕДУЮЩЕЕ:",1
"11. ПРЕТЕНЗИИ / 11.1. ЕСЛИ КАЧЕСТВО АРБИТРАЖНЫХ ПРОБ НЕ СООТВЕТСТВУЕТ СПЕЦИФИКАЦИИ КОНТРАКТА, ПРЕТЕНЗИИ ПО КАЧЕСТВУ ДОЛЖНЫ БЫТЬ ПРЕДЪЯВЛЕНЫ ПРОДАВЦУ В ТЕЧЕНИЕ 45 (СОРОКА ПЯТИ) КАЛЕНДАРНЫХ ДНЕЙ, НАЧИНАЯ С ДАТЫ ПОСТАВКИ.",1
"13. АРБИТРАЖ",1
"14.4. В СЛУЧАЕ ЕСЛИ ОБСТОЯТЕЛЬСТВА ФОРС-МАЖОР БУДУТ ДЕЙСТВОВАТЬ БОЛЕЕ ЧЕМ 90 (ДЕВЯНОСТО) ДНЕЙ, СТОРОНЫ ВПРАВЕ ЧАСТИЧНО ИЛИ ПОЛНОСТЬЮ АННУЛИРОВАТЬ НАСТОЯЩИЙ КОНТРАКТ. В ТАКОМ СЛУЧАЕ НИ ОДНА ИЗ СТОРОН НЕ БУДЕТ ИМЕТЬ ПРАВА ТРЕБОВАТЬ КАКОЙ-ЛИБО КОМПЕНСАЦИИ ЗА ВОЗМОЖНЫЕ ПОТЕРИ С ДРУГОЙ СТОРОНЫ.",1
"SPECIFICATION / ПРИЛОЖЕНИЕ № 1",1
"SHIPPING ORDER RAIL / ПРИЛОЖЕНИЕ № 3",1
"ПРИЛОЖЕНИЕ № 4 / ПРОФОРМА АККРЕДИТИВА",1
"1.1. ПРОДАВЕЦ ПРОДАЕТ, А ПОКУПАТЕЛЬ ПОКУПАЕТ И ОПЛАЧИВАЕТ ТОВАР (ХОДУНКИ, КРЕСЛА-ТУАЛЕТЫ, КОСТЫЛИ, КРЕСЛА ДЛЯ ВАННОЙ В КОЛИЧЕСТВЕ, КАЧЕСТВЕ, АССОРТИМЕНТЕ И НА УСЛОВИЯХ В СООТВЕТСТВИИ С ИНВОЙСОМ И ПРИЛОЖЕНИЕМ № 1.",1
"2.3. TERMS OF DELIVERY SPECIFIED IN CLAUSE 2.2., INCLUDE THE COST OF THE GOODS AND PACKING (LABOR AND MATERIAL).",1
"2.4. CURRENCY OF CONTRACT -US DOLLAR. CURRENCY OF PAYMENT - US DOLLAR.",1
"2.5. КОЛИЧЕСТВО И АССОРТИМЕНТ ТОВАРА УСТАНАВЛИВАЕТСЯ В СООТВЕТСТВИИ С ИНВОЙСАМИ К КАЖДОМУ ОТДЕЛЬНОМУ ЗАКАЗУ.",1
"3.9. AFTER CUSTOMS CLEARANCE AND DISPATCH OF THE GOODS (AUTO TR ANSPORT, AIR TRANSPORT, MARITIME TRANSPORT) THE SELLER MUST, WITHIN 3-7WORKINGDAYS (EXCEPT CUSTOMS EXPORT DECLARATION WHICH PROVIDED WITHIN 30-60 DAYS) SEND BY E-MAIL TO THE BUYER THE FOLLOWING DOCUMENTS FOR THE GOODS SENT (DOCUMENTS APPROVED BY CHAMBER OF COMMERCE AND INDUSTRY):",1
"8. CUSTOMS EXPORT DECLARATION FOR THE DISPATCHED SHIPMENT OF GOODS",1
"5. PAYMENT PROCEDURE",1
"5.1. BUYER AGREES TO MAKE 30% ADVANCE PAYMENT AND REST 70% AGAINST B/L COPY. THE MONEY FOR THE GOODS SOLD ARE SENT BY DIRECT BANK TRANSFER TO THE SELLER’S ACCOUNT. BUYER MUST NOTIFY SELLER BY E-MAIL ABOUT THE PAYMENT DURING 2 DAYS FROM THE DATE OF PAYMENT.",1
"6.1. BASIC TERMS OF DELIVERY ON THE",1
"6.2. POSSIBLE DELIVERY TO OTHER CONDITIONS OF INCOTERMS 2010, WHICH WILL BE DISPLAYED IN INVOICES FOR EACH SPECIFIC CONSIGNMENT.",1
"6.3. DELIVERY OF GOODS MAY BE DONE BY ANY",1
"6.6. THUS, THE MAXIMUM DELIVERY TIME OF GOODS TO THE RUSSIAN FEDERATION UNDER THE CONTRACT № 071119 DATED AS 07.11.2019 IS 180 DAYS FROM THE DATE OF INVOICE'S SIGNIFICATION.",1
"7.1. IF THE DEFECT OF QUALITY IS FOUND THE SELLER SHALL RETURN THE VALUE OF THE FAULTY GOODS OR REPLACE DEFECTIVE GOODS WITH QUALITY ONES.",1
"7.2. ЗА НАРУШЕНИЕ УСЛОВИЙ НАСТОЯЩЕГО КОНТРАКТА СТОРОНЫ НЕСУТ ОТВЕТСТВЕННОСТЬ, ВОЗМЕЩАЯ ПОТЕРПЕВШЕЙ СТОРОНЕ, УБЫТКИ В ВИДЕ ПРЯМОГО УЩЕРБА И",1
"7.3. FOR LATE PAYMENT OF THE GOODS SPECIFIED IN ARTICLE 1 OF THIS CONTRACT, THE BUYER PAYS THE SELLER A RATE OF 0,1 % OF THE OUTSTANDING AMOUNT FOR EACH DAY OF DELAY, BUT NOT MORE THAN 100% OF THE TOTAL VALUE OF THE GOODS.",1
"7.4. FOR THE DELAY OF DELIVERY MORE THAN 10 DAYS FROM THE SHIPMENT DATE ALONG POINT 3.3SELLER PAYS THE BUYER A RATE OF 0,1% OF THE INVOICE FOR EACH DAY OF DELAY IN DELIVERY, BUT NOT MORE THAN 100% OF THE TOTAL VALUE OF THE GOODS.",1
"8.1. OWNERSHIP OF PURCHASED GOODS PASSES TO THE BUYER AFTER ALL THE PAYMENT WAS RECEIVED BY THE SELLER.",1
"9. FORCE-MAJEURE / 9. ФОРС-МАЖОР",1
"9.1. В СЛУЧАЕ НАСТУПЛЕНИЯ ОБСТОЯТЕЛЬСТВ НЕПРЕОДОЛИМОЙ СИЛЫ, ВЫЗВАННЫХ ПРЯМО ИЛИ КОСВЕННО",1
"9.4. СТОРОНА, ССЫЛАЮЩАЯСЯ НА ФОРС-МАЖОРНЫЕ ОБСТОЯТЕЛЬСТВА, ОБЯЗАНА ПРЕДОСТАВИТЬ ДЛЯ ИХ ПОДТВЕРЖДЕНИЯ ДОКУМЕНТ КОМПЕТЕНТНОГО ГОСУДАРСТВЕННОГО ОРГАНА.",1
"10.1. АССОРТИМЕНТ, СТОИМОСТЬ ТОВАРА МОЖЕТ БЫТЬ ИЗМЕНЕНА ПО СОГЛАСОВАНИЮ СТОРОН.",1
"10.3. FAX COPY OF THIS CONTRACT HAS LEGAL EFFECT IF THE FAX COPIES HAVE ALL THE DETAILS OF THE SENDER: SENDER'S NAME, DATE OF SHIPMENT, PHONE / FAX TO SEND, PRINT THE RULER AUTHORIZED SIGNATURE.",1
"10.4. THE SELLER CAN SEND INDIVIDUAL CONSIGNMENT FROM ANOTHER ADDRESS, WHERE THE BRANCHES OF THE SELLER ARE SITUATED OR PARTNERS COOPERATING WITH THE SELLER. THIS TIME BUYER WILL BE NOTIFIED BY THE FAX, E-MAIL, AN OFFICIAL LETTER, BUT NOT LATER THAN 14 WORKING DAYS BEFORE DATE OF SHIPMENT. THE SHIPPER IS INDICATED FOREACH DELIVERY OF THE INVOICE.",1
"11.2. В СЛУЧАЕ НЕВОЗМОЖНОСТИ РАЗРЕШЕНИЯ СПОРОВ ПУТЕМ ПЕРЕГОВОРОВ, ВСЕ ВОПРОСЫ ПЕРЕДАЮТСЯ В АРБИТРАЖНЫЙ СУД ПО МЕСТУ НАХОЖДЕНИЯ ОТВЕТЧИКА РЕШЕНИЕ КОТОРОГО ЯВЛЯЕТСЯ ОКОНЧАТЕЛЬНЫМ ДЛЯ ОБЕИХ СТОРОН.",1
"13 LEGAL ADDRESSES OF THE SIDES / 13 ЮРИДИЧЕСКИЕ АДРЕСА СТОРОН",1
"VAT NO.:91440605779203791T / V ATNO. :91440605779203791T",1
"REHABILITATION EQUIPMENT CO., LIMITED / BENEFICIARY. CAREMAX REHABILITATION",1
"2.4. ПРОДАВЦУ РАЗРЕШЕНО ОСУЩЕСТВЛЯТЬ:",1
"3.1. ОТГРУЗКА ТОВАРА ПРОИЗВОДИТСЯ ПРОДАВЦОМ ИЗ (__________) НА УСЛОВИЯХ CIP, (ПЛОЩАДКА ЗАВОДА СП OOO «АВТОМОБИЛЬНЫЙ ЗАВОД») (СОГЛАСНО ИНКОТЕРМС-2010) В ТЕЧЕНИЕ 90 (ДЕВЯНОСТА) КАЛЕНДАРНЫХ ДНЕЙ С ДАТЫ ВСТУПЛЕНИЯ В СИЛУ НАСТОЯЩЕГО ДОГОВОРА.",1
"3.4. ВМЕСТЕ С ТОВАРОМ ПОКУПАТЕЛЮ ПЕРЕДАЮТСЯ 1 ОРИГИНАЛ И 1 КОПИЯ СЛЕДУЮЩИХ ДОКУМЕНТОВ:",1
"3.5. КАЧЕСТВО ТОВАРА ДОЛЖНО СООТВЕТСТВОВАТЬ ТЕХНИЧЕСКИМ УСЛОВИЯМ ЗАВОДА-ИЗГОТОВИТЕЛЯ, ДЕЙСТВУЮЩИМ СТАНДАРТАМ И СЕРТИФИКАТАМ.",1
"3.7. ГРУЗОПОЛУЧАТЕЛЕМ ТОВАРА ЯВЛЯЕТСЯ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АВТОМОБИЛЬНЫЙ ЗАВОД», ГРУЗООТПРАВИТЕЛЕМ ЯВЛЯЕТСЯ ASIA INCI OTOMOTIV SANAYI VE DIŞ TICARET A.S.",1
"4.3. ПРИ НАЛИЧИИ ДЕФЕКТОВ В КАЧЕСТВЕ ТОВАРА («СКРЫТЫЕ ДЕФЕКТЫ ТОВАРА»), ВЫЯВЛЕННЫХ ПРИ ПРИЕМЕ ТОВАРА И/ИЛИ В ТЕЧЕНИИ ГАРАНТИЙНОГО ПЕРИОДА, ПОКУПАТЕЛЬ ВПРАВЕ ПО УСМОТРЕНИЮ ПРОДАВЦА И ПО ОБОЮДНОМУ СОГЛАСИЮ ВЫБРАТЬ ОДНО ИЗ СЛЕДУЮЩИХ ДЕЙСТВИЙ:",1
"6.1. ЗА НЕИСПОЛНЕНИЕ ИЛИ НЕНАДЛЕЖАЩЕЕ ИСПОЛНЕНИЕ УСЛОВИЙ НАСТОЯЩЕГО ДОГОВОРА СТОРОНЫ НЕСУТ ОТВЕТСТВЕННОСТЬ В СООТВЕТСТВИИ С ДЕЙСТВУЮЩИМ ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ.",1
"6.4. СТОРОНЫ ОСВОБОЖДАЮТСЯ ОТ ОТВЕТСТВЕННОСТИ ЗА ЧАСТИЧНОЕ ИЛИ ПОЛНОЕ НЕИСПОЛНЕНИЕ СВОИХ ОБЯЗАТЕЛЬСТВ ПО НАСТОЯЩЕМУ ДОГОВОРУ, ЕСЛИ ТАКОВОЕ ЯВЛЯЕТСЯ СЛЕДСТВИЕМ ОБСТОЯТЕЛЬСТВ, ВОЗНИКШИХ ПОМИМО ВОЛИ И НАХОДЯЩИХСЯ ВНЕ КОНТРОЛЯ СТОРОН.",1
"7.1. СТОРОНЫ ОСВОБОЖДАЮТСЯ ОТ ОТВЕТСТВЕННОСТИ ЗА ЧАСТИЧНОЕ ИЛИ ПОЛНОЕ НЕИСПОЛНЕНИЕ СВОИХ ОБЯЗАТЕЛЬСТВ ПО НАСТОЯЩЕМУ ДОГОВОРУ, ЕСЛИ ТАКОВОЕ ЯВЛЯЕТСЯ СЛЕДСТВИЕМ ОБСТОЯТЕЛЬСТВ, ВОЗНИКШИХ ПОМИМО ВОЛИ И НАХОДЯЩИХСЯ ВНЕ КОНТРОЛЯ СТОРОН: СТИХИЙНЫЕ БЕДСТВИЯ, ЗЕМЛЕТРЯСЕНИЯ, НАВОДНЕНИЯ, УРАГАНЫ, ЭПИДЕМИИ, ПОЖАРЫ, ВОЙНЫ, ВОЕННЫЕ ДЕЙСТВИЯ, БЛОКАДА, ЗАПРЕЩЕНИЕ ЭКСПОРТА-ИМПОРТА, ОБЩЕНАЦИОНАЛЬНЫЕ И ОТРАСЛЕВЫЕ ЗАБАСТОВКИ.",1
"7.2. СТОРОНА, ДЛЯ КОТОРОЙ СОЗДАЛАСЬ НЕВОЗМОЖНОСТЬ ИСПОЛНЕНИЯ СВОИХ ДОГОВОРНЫХ ОБЯЗАТЕЛЬСТВ В СИЛУ ВОЗНИКШИХ ОБСТОЯТЕЛЬСТВ ФОРС-МАЖОРА, ДОЛЖНА НЕЗАМЕДЛИТЕЛЬНО (ПИСЬМЕННО) ИНФОРМИРОВАТЬ ДРУГУЮ СТОРОНУ. В ИЗВЕЩЕНИИ, ПОДТВЕРЖДЕННОМ ТОРГОВО-ПРОМЫШЛЕННОЙ ПАЛАТОЙ, ДОЛЖНЫ БЫТЬ СООБЩЕНЫ ДАННЫЕ О ХАРАКТЕРЕ ОБСТОЯТЕЛЬСТВ, А ТАКЖЕ ОЦЕНКА ИХ ВЛИЯНИЯ НА ВОЗМОЖНОСТЬ ИСПОЛНЕНИЯ ОБЯЗАТЕЛЬСТВ ПО ДОГОВОРУ И СРОК ИСПОЛНЕНИЯ ОБЯЗАТЕЛЬСТВ.",1
"2.5. ALL BANK COMMISSIONS WILL BE PAID BY THE PARTY WHICH ARRANGES FOR PAYMENT.",1
"3.2. THE SELLER SHALL INFORM THE BUYER OF THE FACT OF SHIPMENT BY FAX OR EMAIL WITHIN 2 WORKING DAYS FROM THE DATE OF SHIPMENT.",1
"3.4. ALONGSIDE WITH THE GOODS, THE BUYER WILL BE PROVIDED WITH 1ORIGINAL AND 1 COPY OF FOLLOWING DOCUMENTS:",1
"3.5. QUALITY OF THE GOODS SHOULD BE IN COMPLIANCE WITH TECHNICAL SPECIFICATION OF THE MANUFACTURER, STANDARDS AND CERTIFICATES IN FORCE.",1
"ARTICLE 4. PACKING, MARKING AND QUALITY OF GOODS.",1
